skill_name,description
噬魂B,"提升40%物理攻击力伤害敌人，同时减少敌人18点精力。每次使用该技能需要消耗10点精力,使用该技能的命中额外附加40点。"
噬魂神技,"提升40%物理攻击力伤害敌人，同时减少敌人18点精力。每次使用该技能需要消耗10点精力,使用该技能的命中额外附加40点。 提升80%伤害/减敌人26精力。"
噬魂A,"提升40%物理攻击力伤害敌人，同时减少敌人18点精力。每次使用该技能需要消耗10点精力,使用该技能的命中额外附加40点。 提升60%伤害/减敌人22精力。"
噬魂C,"提升40%物理攻击力伤害敌人，同时减少敌人18点精力。每次使用该技能需要消耗10点精力,使用该技能的命中额外附加40点。 提升30%伤害/减敌人16精力。"
噬魂D,"提升40%物理攻击力伤害敌人，同时减少敌人18点精力。每次使用该技能需要消耗10点精力,使用该技能的命中额外附加40点。 提升20%伤害/减敌人14精力。"
噬魂E,"提升40%物理攻击力伤害敌人，同时减少敌人18点精力。每次使用该技能需要消耗10点精力,使用该技能的命中额外附加40点。 提升10%伤害/减敌人12精力。"
噬魂F,"提升40%物理攻击力伤害敌人，同时减少敌人18点精力。每次使用该技能需要消耗10点精力,使用该技能的命中额外附加40点。 减敌人10精力。"
魂技.嗜血,【被动技】拥有此技能时，将对敌人造成的伤害的16%转化为自己的气血，作用在多人的时候效果会减弱。 转化伤害的50%。
精灵温泉B,同时恢复全体队友的生命，恢复的量为是法力值*7。每次使用该技能需要消耗22点精力。
温泉神技,同时恢复全体队友的生命，恢复的量为是法力值*7。每次使用该技能需要消耗22点精力。 回复量法力*10/消耗10精力。
温泉A,同时恢复全体队友的生命，恢复的量为是法力值*7。每次使用该技能需要消耗22点精力。 回复量法力*8.5/消耗16精力。
温泉C,同时恢复全体队友的生命，恢复的量为是法力值*7。每次使用该技能需要消耗22点精力。 回复量法力*6.2/消耗25精力。
温泉D,同时恢复全体队友的生命，恢复的量为是法力值*7。每次使用该技能需要消耗22点精力。 回复量法力*5.6/消耗28精力。
暴伤C,【被动技】提升75点暴伤。 提升60点暴伤。
温泉E,同时恢复全体队友的生命，恢复的量为是法力值*7。每次使用该技能需要消耗22点精力。 回复量法力*4.8/消耗31精力。
温泉F,同时恢复全体队友的生命，恢复的量为是法力值*7。每次使用该技能需要消耗22点精力。 回复量法力*4/消耗34精力。
最速霞光B,当前回合提升 150 点速度释放此法力技能，力求抢先攻击敌人。每 1 点法力会获得4.2点技能伤害。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。
霞光神技,当前回合提升 150 点速度释放此法力技能，力求抢先攻击敌人。每 1 点法力会获得4.2点技能伤害。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。 提升300速度/造成法力*4.8伤害。
霞光A,当前回合提升 150 点速度释放此法力技能，力求抢先攻击敌人。每 1 点法力会获得4.2点技能伤害。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。 提升225速度/造成法力*4.5伤害。
霞光C,当前回合提升 150 点速度释放此法力技能，力求抢先攻击敌人。每 1 点法力会获得4.2点技能伤害。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。 提升125速度/造成法力*3.9伤害。
霞光D,当前回合提升 150 点速度释放此法力技能，力求抢先攻击敌人。每 1 点法力会获得4.2点技能伤害。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。 提升100速度/造成法力*3.6伤害。
霞光E,当前回合提升 150 点速度释放此法力技能，力求抢先攻击敌人。每 1 点法力会获得4.2点技能伤害。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。 提升75速度/造成法力*3.3伤害。
霞光F,当前回合提升 150 点速度释放此法力技能，力求抢先攻击敌人。每 1 点法力会获得4.2点技能伤害。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。 提升50速度/造成法力*3伤害。
飓风B,伤害全体的法力技能。每 1 点法力会获得3.6点技能伤害，但是命中率比普通攻击降低20。每次使用该技能需要消耗22点精力；使用该技能的命中额外附加20点。
暴走B,提升1.2倍的物理攻击力和42点致命一击和命中属性攻击敌人，但会不辨敌我，随机攻击任何一个战斗单体。
飓风神技,伤害全体的法力技能。每 1 点法力会获得3.6点技能伤害，但是命中率比普通攻击降低20。每次使用该技能需要消耗22点精力；使用该技能的命中额外附加20点。 造成法力*4.8伤害/消耗12精力。
飓风A,伤害全体的法力技能。每 1 点法力会获得3.6点技能伤害，但是命中率比普通攻击降低20。每次使用该技能需要消耗22点精力；使用该技能的命中额外附加20点。 造成法力*4.2伤害/消耗18精力。
飓风C,伤害全体的法力技能。每 1 点法力会获得3.6点技能伤害，但是命中率比普通攻击降低20。每次使用该技能需要消耗22点精力；使用该技能的命中额外附加20点。 造成法力*3.3伤害/消耗25精力。
飓风D,伤害全体的法力技能。每 1 点法力会获得3.6点技能伤害，但是命中率比普通攻击降低20。每次使用该技能需要消耗22点精力；使用该技能的命中额外附加20点。 造成法力*3伤害/消耗28精力。
飓风E,伤害全体的法力技能。每 1 点法力会获得3.6点技能伤害，但是命中率比普通攻击降低20。每次使用该技能需要消耗22点精力；使用该技能的命中额外附加20点。 造成法力*2.7伤害/消耗31精力。
飓风F,伤害全体的法力技能。每 1 点法力会获得3.6点技能伤害，但是命中率比普通攻击降低20。每次使用该技能需要消耗22点精力；使用该技能的命中额外附加20点。 造成法力*2.4伤害/消耗34精力。
冷血B,使用后，恢复 500 点生命，并提升对所有劣性状态的抵抗度 60 点。每次使用该技能需要消耗12点精力。
冷血神技,使用后，恢复 500 点生命，并提升对所有劣性状态的抵抗度 60 点。每次使用该技能需要消耗12点精力。 恢复1000生命/抗性提升100点。
冷血A,使用后，恢复 500 点生命，并提升对所有劣性状态的抵抗度 60 点。每次使用该技能需要消耗12点精力。 恢复750生命/抗性提升80点。
冷血C,使用后，恢复 500 点生命，并提升对所有劣性状态的抵抗度 60 点。每次使用该技能需要消耗12点精力。 恢复400生命/抗性提升50点。
冷血D,使用后，恢复 500 点生命，并提升对所有劣性状态的抵抗度 60 点。每次使用该技能需要消耗12点精力。 恢复300生命/抗性提升40点。
冷血E,使用后，恢复 500 点生命，并提升对所有劣性状态的抵抗度 60 点。每次使用该技能需要消耗12点精力。 恢复200生命/抗性提升30点。
冷血F,使用后，恢复 500 点生命，并提升对所有劣性状态的抵抗度 60 点。每次使用该技能需要消耗12点精力。 恢复100生命/抗性提升20点。
暴走神技,提升1.2倍的物理攻击力和42点致命一击和命中属性攻击敌人，但会不辨敌我，随机攻击任何一个战斗单体。 提升1.6倍攻击和50点致命和命中。
暴走A,提升1.2倍的物理攻击力和42点致命一击和命中属性攻击敌人，但会不辨敌我，随机攻击任何一个战斗单体。 提升1.4倍攻击和46点致命和命中。
暴走C,提升1.2倍的物理攻击力和42点致命一击和命中属性攻击敌人，但会不辨敌我，随机攻击任何一个战斗单体。 提升1.1倍攻击和40点致命和命中。
暴走D,提升1.2倍的物理攻击力和42点致命一击和命中属性攻击敌人，但会不辨敌我，随机攻击任何一个战斗单体。 提升1倍攻击和38点致命和命中。
暴走E,提升1.2倍的物理攻击力和42点致命一击和命中属性攻击敌人，但会不辨敌我，随机攻击任何一个战斗单体。 提升0.9倍攻击和36点致命和命中。
爱爱之吻B,大幅恢复单个队友的生命，恢复的量为是法力值*8.5。每次使用该技能需要消耗11点精力。
爱吻神技,大幅恢复单个队友的生命，恢复的量为是法力值*8.5。每次使用该技能需要消耗11点精力。 回复量法力*11.5/消耗5精力。
爱吻A,大幅恢复单个队友的生命，恢复的量为是法力值*8.5。每次使用该技能需要消耗11点精力。 回复量法力*10/消耗8精力。
爱吻C,大幅恢复单个队友的生命，恢复的量为是法力值*8.5。每次使用该技能需要消耗11点精力。 回复量法力*7.7/消耗12精力。
爱吻D,大幅恢复单个队友的生命，恢复的量为是法力值*8.5。每次使用该技能需要消耗11点精力。 回复量法力*7.1/消耗14精力。
爱吻E,大幅恢复单个队友的生命，恢复的量为是法力值*8.5。每次使用该技能需要消耗11点精力。 回复量法力*6.3/消耗16精力。
爱吻F,大幅恢复单个队友的生命，恢复的量为是法力值*8.5。每次使用该技能需要消耗11点精力。 回复量法力*5.5/消耗17精力。
暴走F,提升1.2倍的物理攻击力和42点致命一击和命中属性攻击敌人，但会不辨敌我，随机攻击任何一个战斗单体。 提升0.8倍攻击和34点致命和命中。
暴伤D,【被动技】提升75点暴伤。 提升50点暴伤。
冰华B,同时伤害2个目标的法力技能。每 1 点法力会获得4.9点技能伤害，每次使用该技能需要消耗16点精力；使用该技能的命中额外附加30点。
冰华神技,同时伤害2个目标的法力技能。每 1 点法力会获得4.9点技能伤害，每次使用该技能需要消耗16点精力；使用该技能的命中额外附加30点。 造成法力*7伤害/消耗8精力。
冰华A,同时伤害2个目标的法力技能。每 1 点法力会获得4.9点技能伤害，每次使用该技能需要消耗16点精力；使用该技能的命中额外附加30点。 造成法力*6伤害/消耗12精力。
冰华C,同时伤害2个目标的法力技能。每 1 点法力会获得4.9点技能伤害，每次使用该技能需要消耗16点精力；使用该技能的命中额外附加30点。 造成法力*4.4伤害/消耗18精力。
冰华D,同时伤害2个目标的法力技能。每 1 点法力会获得4.9点技能伤害，每次使用该技能需要消耗16点精力；使用该技能的命中额外附加30点。 造成法力*4伤害/消耗20精力。
冰华E,同时伤害2个目标的法力技能。每 1 点法力会获得4.9点技能伤害，每次使用该技能需要消耗16点精力；使用该技能的命中额外附加30点。 造成法力*3.65伤害/消耗22精力。
冰华F,同时伤害2个目标的法力技能。每 1 点法力会获得4.9点技能伤害，每次使用该技能需要消耗16点精力；使用该技能的命中额外附加30点。 造成法力*3.3伤害/消耗24精力。
毒焰B,强劲的单体法力技能。每 1 点法力会获得4.4点技能伤害，一定的可能使敌人中3回合的中毒吐血，每回合伤害敌人500点气血 。每次使用该技能需要消耗11点精力。；使用该技能的命中额外附加40点。
寒蝉B,该法力技能按法力* 3 伤害力攻击敌人，同时有140的封印威力使敌人处于寒蝉状态，而无法使用技能。每次使用该技能消耗16点精力；该技能额外附加40点命中。
寒蝉神技,该法力技能按法力* 3 伤害力攻击敌人，同时有140的封印威力使敌人处于寒蝉状态，而无法使用技能。每次使用该技能消耗16点精力；该技能额外附加40点命中。 5倍伤害/消耗8精力/命中附加80。
毒焰神技,强劲的单体法力技能。每 1 点法力会获得4.4点技能伤害，一定的可能使敌人中3回合的中毒吐血，每回合伤害敌人500点气血 。每次使用该技能需要消耗11点精力。；使用该技能的命中额外附加40点。 造成法力*6伤害/每回合1100伤害。
毒焰A,强劲的单体法力技能。每 1 点法力会获得4.4点技能伤害，一定的可能使敌人中3回合的中毒吐血，每回合伤害敌人500点气血 。每次使用该技能需要消耗11点精力。；使用该技能的命中额外附加40点。 造成法力*5.2伤害/每回合800伤害。
毒焰C,强劲的单体法力技能。每 1 点法力会获得4.4点技能伤害，一定的可能使敌人中3回合的中毒吐血，每回合伤害敌人500点气血 。每次使用该技能需要消耗11点精力。；使用该技能的命中额外附加40点。 造成法力*4.1伤害/每回合400伤害。
毒焰D,强劲的单体法力技能。每 1 点法力会获得4.4点技能伤害，一定的可能使敌人中3回合的中毒吐血，每回合伤害敌人500点气血 。每次使用该技能需要消耗11点精力。；使用该技能的命中额外附加40点。 造成法力*3.8伤害/每回合300伤害。
魂技.反噬,【被动技】受到攻击时，有15%的概率用普通攻击反击敌人。 80%概率反击敌人。
寒蝉A,该法力技能按法力* 3 伤害力攻击敌人，同时有140的封印威力使敌人处于寒蝉状态，而无法使用技能。每次使用该技能消耗16点精力；该技能额外附加40点命中。 4倍伤害/消耗12精力/命中附加60。
毒焰E,强劲的单体法力技能。每 1 点法力会获得4.4点技能伤害，一定的可能使敌人中3回合的中毒吐血，每回合伤害敌人500点气血 。每次使用该技能需要消耗11点精力。；使用该技能的命中额外附加40点。 造成法力*3.5伤害/每回合200伤害。
毒焰F,强劲的单体法力技能。每 1 点法力会获得4.4点技能伤害，一定的可能使敌人中3回合的中毒吐血，每回合伤害敌人500点气血 。每次使用该技能需要消耗11点精力。；使用该技能的命中额外附加40点。 造成法力*3.2伤害/每回合100伤害。
嗜血B,【被动技】拥有此技能时，将对敌人造成的伤害的16%转化为自己的气血，作用在多人的时候效果会减弱。
嗜血神技,【被动技】拥有此技能时，将对敌人造成的伤害的16%转化为自己的气血，作用在多人的时候效果会减弱。 转化伤害的30%。
嗜血A,【被动技】拥有此技能时，将对敌人造成的伤害的16%转化为自己的气血，作用在多人的时候效果会减弱。 转化伤害的23%。
嗜血C,【被动技】拥有此技能时，将对敌人造成的伤害的16%转化为自己的气血，作用在多人的时候效果会减弱。 转化伤害的12%。
嗜血D,【被动技】拥有此技能时，将对敌人造成的伤害的16%转化为自己的气血，作用在多人的时候效果会减弱。 转化伤害的10%。
厚甲B,宠物得到这个技能【被动技】提升10点物理抗性。
强壮A,【被动技】拥有此技能时，将提升[color=green]25%[/color]的最大生命上限。
强壮神技,【被动技】拥有此技能时，将提升[color=green]30%[/color]的最大生命上限。
强壮C,【被动技】拥有此技能时，将提升[color=green]12%[/color]的最大生命上限。
强壮D,【被动技】拥有此技能时，将提升[color=green]10%[/color]的最大生命上限。
强壮E,【被动技】拥有此技能时，将提升[color=green]8%[/color]的最大生命上限。
强壮F,【被动技】拥有此技能时，将提升[color=green]6%[/color]的最大生命上限。
坚韧B,【被动技】提升15点所有不良状态的抗性。
致命A,【被动技】拥有此技能将提升12点致命一击的属性。 提升20点致命一击。
暴伤F,【被动技】提升75点暴伤。 提升30点暴伤。
嗜血E,【被动技】拥有此技能时，将对敌人造成的伤害的16%转化为自己的气血，作用在多人的时候效果会减弱。 转化伤害的8%。
嗜血F,【被动技】拥有此技能时，将对敌人造成的伤害的16%转化为自己的气血，作用在多人的时候效果会减弱。 转化伤害的6%。
致命C,【被动技】拥有此技能将提升12点致命一击的属性。 提升10点致命一击。
致命D,【被动技】拥有此技能将提升12点致命一击的属性。 提升8点致命一击。
致命E,【被动技】拥有此技能将提升12点致命一击的属性。 提升6点致命一击。
致命F,【被动技】拥有此技能将提升12点致命一击的属性。 提升5点致命一击。
坚韧神技,【被动技】提升15点所有不良状态的抗性。 提升30点状态抗性。
坚韧A,【被动技】提升15点所有不良状态的抗性。 提升25点状态抗性。
坚韧C,【被动技】提升15点所有不良状态的抗性。 提升12点状态抗性。
坚韧D,【被动技】提升15点所有不良状态的抗性。 提升10点状态抗性。
坚韧E,【被动技】提升15点所有不良状态的抗性。 提升8点状态抗性。
坚韧F,【被动技】提升15点所有不良状态的抗性。 提升6点状态抗性。
结界B,【被动技】提升10点技能抗性。
结界神技,【被动技】提升10点技能抗性。 提升20点技能抗性。
结界A,【被动技】提升10点技能抗性。 提升15点技能抗性。
结界C,【被动技】提升10点技能抗性。 提升8点技能抗性。
结界D,【被动技】提升10点技能抗性。 提升6点技能抗性。
结界E,【被动技】提升10点技能抗性。 提升5点技能抗性。
结界F,【被动技】提升10点技能抗性。 提升4点技能抗性。
连击B,【被动技】每次攻击敌人时，有15%的概率额外追加一次普通物理攻击。
连击神技,【被动技】每次攻击敌人时，有15%的概率额外追加一次普通物理攻击。 30%的概率连击。
连击A,【被动技】每次攻击敌人时，有15%的概率额外追加一次普通物理攻击。 25%的概率连击。
连击C,【被动技】每次攻击敌人时，有15%的概率额外追加一次普通物理攻击。 12%的概率连击。
连击D,【被动技】每次攻击敌人时，有15%的概率额外追加一次普通物理攻击。 10%的概率连击。
连击E,【被动技】每次攻击敌人时，有15%的概率额外追加一次普通物理攻击。 8%的概率连击。
连击F,【被动技】每次攻击敌人时，有15%的概率额外追加一次普通物理攻击。 6%的概率连击。
魔心B,【被动技】拥有此技能的宠物会提升15%的法力属性。
魔心神技,【被动技】拥有此技能的宠物会提升15%的法力属性。 提升30%的法力。
魔心A,【被动技】拥有此技能的宠物会提升15%的法力属性。 提升25%的法力。
魔心C,【被动技】拥有此技能的宠物会提升15%的法力属性。 提升12%的法力。
魔心D,【被动技】拥有此技能的宠物会提升15%的法力属性。 提升10%的法力。
魔心E,【被动技】拥有此技能的宠物会提升15%的法力属性。 提升8%的法力。
魔心F,【被动技】拥有此技能的宠物会提升15%的法力属性。 提升6%的法力。
涅槃B,【被动技】当被敌人杀死时，有15%的概率生命全满复活！
涅槃F,【被动技】当被敌人杀死时，有15%的概率生命全满复活！ 6%的概率复活。
涅槃E,【被动技】当被敌人杀死时，有15%的概率生命全满复活！ 8%的概率复活。
涅槃D,【被动技】当被敌人杀死时，有15%的概率生命全满复活！ 10%的概率复活。
涅槃C,【被动技】当被敌人杀死时，有15%的概率生命全满复活！ 12%的概率复活。
涅槃A,【被动技】当被敌人杀死时，有15%的概率生命全满复活！ 25%的概率复活。
涅槃神技,【被动技】当被敌人杀死时，有15%的概率生命全满复活！ 30%的概率复活。
涅槃魂技,【被动技】当被敌人杀死时，有15%的概率生命全满复活！ 50%的概率复活。
强力B,【被动技】拥有此技能的宠物将提升15%的攻击力。
强力神技,【被动技】拥有此技能的宠物将提升15%的攻击力。 提升30%的攻击力。
强力A,【被动技】拥有此技能的宠物将提升15%的攻击力。 提升25%的攻击力。
强力C,【被动技】拥有此技能的宠物将提升15%的攻击力。 提升12%的攻击力。
强力D,【被动技】拥有此技能的宠物将提升15%的攻击力。 提升10%的攻击力。
强力E,【被动技】拥有此技能的宠物将提升15%的攻击力。 提升8%的攻击力。
强力F,【被动技】拥有此技能的宠物将提升15%的攻击力。 提升6%的攻击力。
迅捷B,【被动技】拥有此技能的宠物将提升10%的速度属性。
迅捷神技,【被动技】拥有此技能的宠物将提升10%的速度属性。 提升20%的速度。
迅捷A,【被动技】拥有此技能的宠物将提升10%的速度属性。 提升15%的速度。
迅捷C,【被动技】拥有此技能的宠物将提升10%的速度属性。 提升8%的速度。
迅捷D,【被动技】拥有此技能的宠物将提升10%的速度属性。 提升6%的速度。
迅捷E,【被动技】拥有此技能的宠物将提升10%的速度属性。 提升5%的速度。
迅捷F,【被动技】拥有此技能的宠物将提升10%的速度属性。 提升4%的速度。
暴伤B,【被动技】提升75点暴伤。
暴伤神技,【被动技】提升75点暴伤。 提升150点暴伤。
暴伤A,【被动技】提升75点暴伤。 提升110点暴伤。
暴伤E,【被动技】提升75点暴伤。 提升40点暴伤。
刺甲B,【被动技】每次受到敌人攻击时，将伤害数值的10%反弹给敌人，反弹伤害的时候无视敌人的抗性和防御。
反噬B,【被动技】受到攻击时，有15%的概率用普通攻击反击敌人。
刺甲神技,【被动技】每次受到敌人攻击时，将伤害数值的10%反弹给敌人，反弹伤害的时候无视敌人的抗性和防御。 反弹20%的伤害。
刺甲A,【被动技】每次受到敌人攻击时，将伤害数值的10%反弹给敌人，反弹伤害的时候无视敌人的抗性和防御。 反弹15%的伤害。
刺甲C,【被动技】每次受到敌人攻击时，将伤害数值的10%反弹给敌人，反弹伤害的时候无视敌人的抗性和防御。 反弹8%的伤害。
刺甲D,【被动技】每次受到敌人攻击时，将伤害数值的10%反弹给敌人，反弹伤害的时候无视敌人的抗性和防御。 反弹6%的伤害。
刺甲E,【被动技】每次受到敌人攻击时，将伤害数值的10%反弹给敌人，反弹伤害的时候无视敌人的抗性和防御。 反弹5%的伤害。
刺甲F,【被动技】每次受到敌人攻击时，将伤害数值的10%反弹给敌人，反弹伤害的时候无视敌人的抗性和防御。 反弹4%的伤害。
反噬神技,【被动技】受到攻击时，有15%的概率用普通攻击反击敌人。 50%概率反击敌人。
反噬A,【被动技】受到攻击时，有15%的概率用普通攻击反击敌人。 35%概率反击敌人。
反噬C,【被动技】受到攻击时，有15%的概率用普通攻击反击敌人。 12%概率反击敌人。
反噬D,【被动技】受到攻击时，有15%的概率用普通攻击反击敌人。 10%概率反击敌人。
反噬E,【被动技】受到攻击时，有15%的概率用普通攻击反击敌人。 8%概率反击敌人。
反噬F,【被动技】受到攻击时，有15%的概率用普通攻击反击敌人。 6%概率反击敌人。
